MetaboliteName;KEGG_Pathways_Total_Metabolites;KEGG.ID;CommonName;CAS;PubChem;ChEBI;mzPos;mzNEG;RT;PathwayID;PathwayName;"PathwayClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Methylhistamine;NA;NA;NA;NA;NA;NA;126.10257;124.08802;5.54;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Nalpha-Methylhistamine;NA;NA;NA;NA;NA;NA;126.10257;124.08802;6.35;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Imidazoleacetic acid;Imidazole-4-acetate;C02835;"Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate";645-65-8;5778;16974;127.0502;125.03565;5.55;hsa00340;Histidine metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Thymine;Thymine;C00178;"Thymine; 5-Methyluracil";65-71-4;3478;17821;127.0502;125.03565;2.96;hsa00240;Pyrimidine metabolism;"Metabolism; Nucleotide metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Dihydrothymine,NA,C00906,""5,6-Dihydrothymine; Dihydrothymine;"" 5";"6-Dihydro-5-methyluracil""""";696-04-8;4161;27468;129.06585;127.0513;2.36;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;
Octanal;NA;C01545;"Octanal; 1-Octanal; 1-Caprylaldehyde; 1-Octylaldehyde; 1-Octaldehyde";124-13-0;4704;17935;129.12739;127.11284;1.72;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
L-Pyroglutamic acid (oxoproline);5-Oxoproline;C01879;"5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid";98-79-3;4992;18183;130.04987;128.03532;4.66;hsa00480;Glutathione metabolism;"Metabolism; Metabolism of other amino acids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Pipecolinic acid;L-Pipecolate;C00408;"L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid; (S)-Piperidine-2-carboxylic acid";3105-95-1;3698;3 063 330 913;130.08626;128.0717;5.87;hsa00310;Lysine degradation;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Metformin;NA;C07151;Metformin;657-24-9;9360;6801;130.10872;128.09417;14.78;"hsa04152; hsa04211; hsa04976";"AMPK signaling pathway; Longevity regulating pathway; Bile secretion";"Environmental Information Processing; Signal transduction; Organismal Systems; Aging; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
(?)-Mevalonolactone;NA;NA;NA;NA;NA;NA;131.07027;129.05572;2.24;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Ketohexanoic acid;NA;C00902;"2-Oxohexanoic acid; 2-Oxohexanoate; alpha-Ketocaproic acid";2492-75-3;4157;1 730 835 177;131.07027;129.05572;2.07;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Methyl-2-oxovaleric acid;NA;C03465;"3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate";1460-34-0;6284;2 865 435 932;131.07027;129.05572;2.2;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Methyl-2-oxovaleric acid;4-Methyl-2-oxopentanoate;C00233;"4-Methyl-2-oxopentanoate; 2-Oxoisocaproate";816-66-0;3532;1 786 548 430;131.07027;129.05572;2.08;"hsa00280;"" hsa00290";Valine;" leucine and isoleucine degradation"";"" Valine";" leucine and isoleucine biosynthesis""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;
2-Amino-N;N-diethylacetamide;NA;C06244;Acetamide;60-35-5;8483;27856;131.11789;129.10334;2.4;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
DL-Leucinamide;NA;NA;NA;NA;NA;NA;131.11789;129.10334;2.52;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Acetylputrescine;N-Acetylputrescine;C02714;N-Acetylputrescine;5699-41-2;5677;17768;131.11789;129.10334;7.01;hsa00330;Arginine and proline metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Agmatine sulfate;Sulfate;C00059;"Sulfate; Sulfuric acid";7664-93-9;3359;1 618 926 836;131.12912;129.11457;0;"hsa00230; hsa00270; hsa00920; hsa02010";"Purine metabolism; Cysteine and methionine metabolism; Sulfur metabolism; ABC transporters";"Metabolism; Nucleotide metabolism; Amino acid metabolism; Energy metabolism; Environmental Information Processing; Membrane transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
5-Aminolevulinic acid hydrochloride;NA;C00803;"Pentanoate; Valerate; Pentanoic acid; Valeric acid; Valerianic acid; n-Pentanoate; n-Valeric acid";109-52-4;4061;17418;132.06552;130.05097;6.36;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
cis-4-hydroxy-D-proline;cis-4-Hydroxy-D-proline;C03440;cis-4-Hydroxy-D-proline;2584-71-6;6264;16231;132.06552;130.05097;7.14;hsa00470;D-Amino acid metabolism;"Metabolism; Metabolism of other amino acids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Acetyl-L-alanine;NA;NA;NA;NA;NA;NA;132.06552;130.05097;3.77;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
trans-3-Hydroxy-L-proline;trans-3-Hydroxy-L-proline;C05147;"trans-3-Hydroxy-L-proline; trans-L-3-Hydroxyproline";NA;7565;16889;132.06552;130.05097;7.16;hsa00330;Arginine and proline metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
trans-4-hydroxy-L-proline;Hydroxyproline;C01157;"Hydroxyproline; L-Hydroxyproline; trans-4-Hydroxy-L-proline";51-35-4;4385;18095;132.06552;130.05097;7.24;"hsa00330; hsa00470; hsa02010";"Arginine and proline metabolism; D-Amino acid metabolism; ABC transporters";"Metabolism; Amino acid metabolism; Metabolism of other amino acids; Environmental Information Processing; Membrane transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Creatine;Creatine;C00300;"Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine";57-00-1;3594;16919;132.07675;130.0622;7.52;"hsa00260;"" hsa00330";Glycine;" serine and threonine metabolism"";"" Arginine and proline metabolism""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
6-Aminocaproic acid;NA;C02378;"6-Aminohexanoate; 6-Aminohexanoic acid; Epsilcapramine; 6-Aminocaproic acid";60-32-2;5420;1 658 632 396;132.10191;130.08735;7.5;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
DL-?-Leucine;NA;C00803;"Pentanoate; Valerate; Pentanoic acid; Valeric acid; Valerianic acid; n-Pentanoate; n-Valeric acid";109-52-4;4061;17418;132.10191;130.08735;4.63;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Isoleucine;L-Isoleucine;C00407;"L-Isoleucine; 2-Amino-3-methylvaleric acid";73-32-5;3697;17191;132.10191;130.08735;4.16;"hsa00280; hsa00290; hsa00970; hsa02010; hsa04974; hsa04978; hsa05131;"" hsa05230";Valine;" leucine and isoleucine degradation""; Valine";" leucine and isoleucine biosynthesis; Aminoacyl-tRNA biosynthesis; ABC transporters; Protein digestion and absorption; Mineral absorption; Shigellosis;"" Central carbon metabolism in cancer""""";"Metabolism""; Amino acid metabolism; Genetic Information Processing; Translation; Environmental Information Processing; Membrane transport; Organismal Systems; Digestive system; Human Diseases; Infectious disease: bacterial; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;
Leucine;L-Leucine;C00123;"L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine";61-90-5;3423;15603;132.10191;130.08735;3.88;"hsa00280; hsa00290; hsa00970; hsa02010; hsa04150; hsa04974; hsa04978; hsa05131;"" hsa05230";Valine;" leucine and isoleucine degradation""; Valine";" leucine and isoleucine biosynthesis; Aminoacyl-tRNA biosynthesis; ABC transporters; mTOR signaling pathway; Protein digestion and absorption; Mineral absorption; Shigellosis;"" Central carbon metabolism in cancer""""";"Metabolism""; Amino acid metabolism; Genetic Information Processing; Translation; Environmental Information Processing; Membrane transport; Signal transduction; Organismal Systems; Digestive system; Human Diseases; Infectious disease: bacterial; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;
L-Norleucine;NA;C01933;"L-Norleucine; L-Aminohexanoic acid; L-Aminohexanoate; L-2-Aminohexanoic acid; L-2-Aminohexanoate; (S)-2-Aminohexanoic acid";327-57-1;5038;1 834 721 203;132.10191;130.08735;3.84;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Ehtylmalonic acid;NA;NA;NA;NA;NA;NA;133.04954;131.03498;7.5;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Methyl-succinic acid;NA;NA;NA;NA;NA;NA;133.04954;131.03498;2.79;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
mono-Methyl hydrogen succinate;NA;NA;NA;NA;NA;NA;133.04954;131.03498;2.76;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Ureidopropionic acid;3-Ureidopropionate;C02642;"3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine";462-88-4;5621;18261;133.06077;131.04622;6.04;"hsa00240; hsa00410; hsa00770";"Pyrimidine metabolism; beta-Alanine metabolism; Pantothenate and CoA biosynthesis";"Metabolism; Nucleotide metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Asparagine;L-Asparagine;C00152;"L-Asparagine; 2-Aminosuccinamic acid";70-47-3;3452;17196;133.06077;131.04622;6.96;"hsa00250; hsa00970; hsa04974; hsa04978;"" hsa05230";Alanine;" aspartate and glutamate metabolism""; Aminoacyl-tRNA biosynthesis; Protein digestion and absorption; Mineral absorption;"" Central carbon metabolism in cancer""""";"Metabolism""; Amino acid metabolism; Genetic Information Processing; Translation; Organismal Systems; Digestive system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
Gly-Gly;NA;C02037;"Glycylglycine; N-Glycylglycine";556-50-3;5129;17201;133.06077;131.04622;7.12;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-hydroxycaproic acid;NA;C01585;"Hexanoic acid; Hexanoate; Hexylic acid; n-Caproic acid";142-62-1;4740;1 712 030 776;133.08592;131.07137;2.28;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Ornithine,NA,C01602,""Ornithine; 2";"5-Diaminovaleric acid; 2";"5-Diaminopentanoic acid;"" 2";"5-Diaminopentanoate""""";70-26-8;4756;18257;133.09715;131.0826;8.72;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
L-Aspartic acid;L-Aspartate;C00049;"L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp";56-84-8;3351;17053;134.04478;132.03023;8.05;"hsa00220; hsa00250; hsa00260; hsa00270; hsa00340; hsa00410; hsa00470; hsa00760; hsa00770; hsa00970; hsa02010; hsa04080; hsa04974;"" hsa05230";"Arginine biosynthesis""; Alanine";" aspartate and glutamate metabolism; Glycine";" serine and threonine metabolism; Cysteine and methionine metabolism; Histidine metabolism; beta-Alanine metabolism; D-Amino acid metabolism; Nicotinate and nicotinamide metabolism; Pantothenate and CoA biosynthesis; Aminoacyl-tRNA biosynthesis; ABC transporters; Neuroactive ligand-receptor interaction; Protein digestion and absorption;"" Central carbon metabolism in cancer""""";"Metabolism""; Amino acid metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins; Genetic Information Processing; Translation; Environmental Information Processing; Membrane transport; Signaling molecules and interaction; Organismal Systems; Digestive system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;
4-Hydroxyindole;NA;C02040;"Hydroxyindole; 4-Hydroxyindole";2380-94-1;5131;NA;134.06004;132.04549;2.34;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
5-Hydroxyindole;NA;NA;NA;NA;NA;NA;134.06004;132.04549;2.33;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
5-Hydroxyindole *1*;NA;NA;NA;NA;NA;NA;134.06004;132.04549;2.34;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Malic acid;(S)-Malate;C00149;"(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid";97-67-6;3449;1 558 930 797;135.0288;133.01425;8.5;"hsa00020; hsa00620; hsa00630; hsa04742; hsa04922; hsa04964; hsa05200; hsa05211; hsa05230";"Citrate cycle (TCA cycle); Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Taste transduction; Glucagon signaling pathway; Proximal tubule bicarbonate reclamation; Pathways in cancer; Renal cell carcinoma; Central carbon metabolism in cancer";"Metabolism; Carbohydrate metabolism; Organismal Systems; Sensory system; Endocrine system; Excretory system; Human Diseases; Cancer: overview; Cancer: specific types;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Deoxyribose;Deoxyribose;C01801;"Deoxyribose; 2-Deoxy-D-erythro-pentose; Thyminose; 2-Deoxy-D-ribose";533-67-5;4927;28816;135.06519;133.05063;4.05;hsa00030;Pentose phosphate pathway;"Metabolism; Carbohydrate metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Homocysteine;L-Homocysteine;C00155;"L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine";6027-13-0;3455;17588;136.04268;134.02812;5.49;"hsa00270; hsa00920; hsa04621";"Cysteine and methionine metabolism; Sulfur metabolism; NOD-like receptor signaling pathway";"Metabolism; Amino acid metabolism; Energy metabolism; Organismal Systems; Immune system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
